Question,Sub Quest/Answer,Question_Char_Length,Sub_QA_Char_Length,Question_Word_Length,Sub_QA_Word_Length
Will I receive any notifications for the QR cash withdrawal transaction done via any OCBC ATM?,"Yes, an SMS alert notification on successful or unsuccessful QR cash withdrawal transaction will be sent to the mobile number that you registered with the bank.",94,160,16,26
When will the money be deducted from my account?,The amount withdrawn will be deducted from your bank account immediately.,48,73,9,11
"I did a QR Cash Withdrawal at an OCBC ATM/ATM Plus/New ATM and the amount was deducted from my account, but no cash was dispensed/cash was retracted. What happened?","Please provide us with your transaction details (e.g. date, time and ATM location) for our investigation.",164,105,29,16
What is the ATM Dynamic Currency Conversion (DCC) service about?,ATM Dynamic Currency Conversion (DCC) service allows foreign MasterCard cardholders to view the amount in SGD and in their home currency e.g. USD. They have the option to withdraw cash using the exchange rate displayed on the ATM or continue with the existing withdrawal without Dynamic Currency Conversion (without exchange rate displayed).,64,341,10,52
Who can use the ATM Dynamic Currency Conversion (DCC) service?,ATM Dynamic Currency Conversion (DCC) service is only available to foreign-issued MasterCard cardholders. Singapore-issued MasterCard cardholders are not eligible for this service.,62,180,10,22
What are the MasterCard brands available for the ATM Dynamic Currency Conversion (DCC) service?,ATM Dynamic Currency Conversion (DCC) service is available for the following MasterCard brands:,95,95,14,13
"Are there other types of card applicable for ATM Dynamic Currency Conversion (DCC) service e.g. VISA, AMEX?","No, ATM Dynamic Currency Conversion (DCC) service is currently only available to foreign MasterCard cardholders.",107,112,17,15
Are ATM Dynamic Currency Conversion (DCC) transactions available on all OCBC ATMs in Singapore?,ATM Dynamic Currency Conversion (DCC) service is available on all OCBC ATMs in Singapore except OCBC New ATM & OCBC Service Kiosk.,95,130,14,22
What will happen to my card after it expires?,You will not be able to use it anymore. Please cut it in half and discard.,45,74,9,16
What type of ATM transactions should I make to be eligible for renewal?,You may go to any OCBC ATM with your ATM card and make at least 1 cash withdrawal or a deposit.,71,95,13,21
What do I need to do if I do not wish to renew my card?,"If you do not wish to renew your card, no action is required from you.",55,70,15,15
Why did I receive a new ATM card?,"To ensure your banking experience with us is not disrupted,a new ATM cardwill be sent to you up to 1 month before your current ATM card expires.Below is how the new ATM card looks like.The NETS contactless symbol will be indicated on your ATM card.",33,248,8,45
What is the validity period for my new ATM card?,Your new ATM card comes with 10-year validity period.,48,53,10,9
What is a contactless ATM card?,"Besides the usual ATM services, thecontactless ATM cardalso allows you to tap and pay for:NETS purchase below $100 without having to key in your PINMRT and public bus rides (must maintain a minimum of $20 balance in your account)",31,229,6,39
How do I know if a merchant accepts contactless payment?,"You may look out for the NETS contactless logo on merchant’s point-of-sale (POS) terminals.How do I use the contactless ATM card for payment?You may tap the card at NETS terminals to pay for your purchases that are less that S$100 without the use of ATM PIN.MRT and public bus ridesHow do I use the contactless ATM card for MRT and public bus rides?The contactless ATM cardworks exactly like your current travel card. You just need to tap the card at the card readers of MRT gantries or buses’ boarding and alighting points.Do I need to maintain a minimum balance in my bank account in order to take MRT and public bus rides?You need to maintain a minimum of $20 in your bank account in order to use your contactless ATM card for MRT and public bus rides.Why is my contactless ATM card blocked for MRT and public bus rides?Your contactless ATM card could be blocked due to insufficient funds e.g. below $20 or the account linked to your card is closed at the point of transit. Please visit the transit office if you wish to uplift the card block status within the same day.Can I view the transfer summary of the MRT and public bus rides in OCBC Internet/ Mobile Banking?Your MRT and public bus transactions will be processed, accumulated and charged to your contactless ATM card when the amount reaches $15 or 5 calendar days, whichever comes first. The accumulated amount will be reflected in the transaction details of Internet/ Mobile Banking and paper/ e-statements.To view detailed journey and fare history, you will need to register your contactless ATM card at TransitLink SimplyGo portalhttps://simplygo.transitlink.com.sgor the TransitLink SimplyGo mobile app. For other queries, please call the TransitLink hotline at 1800 2255 663.",56,1742,10,292
Why do I have to activate my new ATM card?,"For added security, we require our customers to activate any card that they receive from us. For your easy reference, please refer to the card mailer to see how you can activate your new ATM card, or refer to question 4.",42,220,10,41
How do I activate my new ATM card?,"There are a few ways to activate your new ATM card instantly:Via OCBC Online Banking: Login with your OCBC Online Banking access code and PIN > Go to 'Customer service' > 'Activate ATM card' > follow on-screen instructionsVia Mobile Banking app: Login to Mobile Banking > Tap on the menu bar on the top left of the screen > Tap on ""Card Services"" > Select ""Activate ATM Card"" > Follow the mobile banking instructionsVia ATM: Bring both your old and new ATM card > Insert your old card > Enter your PIN > Select ‘Card activation’ > follow on-screen instructionsNote: Joint account holders may only activate their personal ATM card(s)",34,632,8,110
What do I do with my old ATM card?,"Your old ATM card will be cancelled  after you activate your new ATM card or once it reaches its stated expiry date, whichever comes earlier. Please shred old card into pieces and dispose it.",34,191,9,34
Will the new ATM card retain all the existing features/settings?,Yes. Your new ATM card will retain all the existing features/settings.,64,70,10,11
Can I use the new ATM card to withdraw cash overseas?,"Yes. You can activate this service instantly via OCBC Online Banking (Internet or Mobile), SMS Banking, and Service Kiosks (at select branches). Please visit theOverseas ATM cash withdrawal FAQsfor instructions (under Activation/ deactivation of cards for overseas ATM withdrawal). If you have already activated this service, there will be no interruption to you for the already activated duration of your old card.",53,415,11,62
What happens to my current PIN?,If your new ATM card has the same card number as the old card:You may continue to use your current PINIf your new ATM card has a different card number from the old card:You may activate your new card at the ATM and select a new PIN for the card; orA new PIN for your new ATM card will be mailed to you within 5 to 7 working days after you activate your card via Online Banking.,31,377,6,77
I have multiple accounts linked to my ATM card. What will happen to my accounts?,"For your convenience, all accounts linked on your current ATM card have been carried over to your new ATM card. You can check which accounts are linked at any OCBC ATM. If you need to add or remove any of these linked accounts, please do so via the following channels:Via Online Banking: Login to Online Banking > Go to 'Customer Service' > 'Manage accounts for ATM use' > follow on-screen instructionsVia ATM: Insert your ATM card > Enter your PIN > Select ‘More Services’ > ‘Change account to linked card’ > follow on-screen instructions",80,539,15,94
How do I get notified for transactions done on my ATM card?,"We will send you an SMS notification alert when a transaction that exceeds $1000 (default amount if you did not change the amount) is deducted from your account. This alert serves as a fraud prevention measure. If you did not authorise the transaction, please contact us immediately.",59,283,12,47
How do I change the SMS notification settings or default amount?,"You can set the notification settings and the transaction amount limit via the following channels:(i) OCBC Online Banking atwww.ocbc.com/loginOn the top menu, select Customer service tab -> “Manage e-Alerts” -> “ATM transactions”Select “Set Threshold” under local ATM cash withdrawalLocate ATM card and select from the dropdown menu for the desired amount and click saveEnter the OTP and the new limit will be savedA confirmation SMS will be sent to your mobile(ii) Call our customer hotline at 1800 363 3333; or(iii) Visit our OCBC branches.",64,542,11,84
Can I keep my old ATM card to access my account?,"As part of our security measures, you will not be able to use your old ATM card to access your account after 30 days from the date of this letter. If you wish to receive a replacement ATM card, please complete the enclosed form and mail it back to us. Alternatively, you can also visit any of our branches.",48,306,11,59
How can I get a replacement ATM card if I am overseas?,"You may request for a replacement ATM card either by:Calling us at +65 6363 3333 orLogging in to your OCBC Online Banking and inform us by emailPlease call or email us within 14 working days from the date of this letter. Upon receiving your request, a replacement ATM card will be mailed to your overseas address registered with us.",54,332,12,59
What are the branch opening hours?,"Branch opening hoursMondays to Fridays: 9:00am to 4:30pmSaturdays: 9:00am to 11:30amSundays & Public Holidays: ClosedSunday banking branch opening hoursMondays to Sundays: 11:00am to 7:00pmPublic Holidays: ClosedTo locate the nearest branch based on your location, clickhere",34,274,6,35
I replaced my old ATM card before receiving this letter. Will my new ATM card be cancelled?,"If you recently received a new ATM card that comes with a chip, it will not be cancelled.",91,89,17,18
Will I still be able to use my old ATM card before it is cancelled?,You will still be able to use your old ATM card before it is cancelled 30 days from receiving the letter notification.,67,118,15,22
Why is there a feature to suspend my accounts and cards through OCBC ATMs?,"In line with the Bank’s enhanced anti-scam measures, you may now suspend the operation of your OCBC bank accounts and OCBC cards (including the operation of these accounts and cards through OCBC Digital) at an ATM if you have detected fraudulent transactions being made on your accounts or cards.",74,296,14,49
I suspect that I may have been scammed. How do I prevent the scammers from accessing my account(s)?,You may suspend the operation of your OCBC bank accounts and cards (including the operation of these accounts and cards through OCBC Digital) via our ATMs and ATM+ by following the steps below:ATM and ATM+ steps:Go to an OCBC Bank ATMInsert your ATM/ debit/ credit card and enter the card PINSelect ‘More Services’Select ‘Suspend your accounts and cards’Select ‘Confirm’You may also suspend your accounts and cards through the Personal Banking Hotline.Learn more.,99,463,18,72
What does this service suspend?,"This service suspends the following:The use of your current and savings accounts (including joint accounts – if the joint account is suspended, joint account holders cannot withdraw from/ place deposits into the affected joint account), whether through OCBC Digital or otherwise.The use of your ATM, Debit and Credit cards (including business debit cards and corporate credit cards), whether through OCBC Digital or otherwise.",31,426,5,63
When will the suspension take effect?,This will take effectimmediatelyupon your confirmation of the suspension at an ATM.,37,83,6,12
Will all my transactions be disabled?,These transactions will be disabled once you have confirmed the suspension:Cash withdrawals and depositsLocal and overseas funds transfersBill paymentsGIRO transactions (incoming and outgoing)NETSVisa & MasterCard transactions using ATM/ Credit/ Debit cards physically and digitally,37,282,6,34
"If my banking accounts are suspended, what will happen to any incoming funds that I am expecting (e.g. crediting of salary, crediting of dividends) and scheduled funds transfers or payment arrangements (e.g. GIRO payments)?","During the period when your accounts are suspended, no crediting or debiting of funds will be processed, even if these arrangements were scheduled prior to the suspension. You will need to make alternative arrangements in advance with the relevant parties/ organisations.",223,271,34,41
Is this available at all your ATM machines?,"This is made available on our ATM and ATM+ except for the 8 machines below.Machine IDFull AddressPostal Code1978AR1 PICKERING STREET, #01-01, GREAT EASTERN CENTRE0486592911AR103 YISHUN RING ROAD, #01-677601032921AR520 LORONG 6 TOA PAYOH, 1ST STOREY3105204936AR260 TANJONG PAGAR ROAD, OCBC CAMPUS0885424960AR399 YUNG SHENG ROAD, #01-K2, TAMAN JURONG SHOPPING CENTRE6103995979AR348 GEYLANG ROAD3893697922AR11 TAMPINES CENTRAL 1, OCBC TAMPINES CENTRE 15295427923AR31 TAMPINES AVENUE 4, OCBC TAMPINES CENTRE 2529680We will be also extending this new service to our New ATMs and Service Kiosks at a later date.",43,605,8,81
What do I need to do to reactivate the operation of my accounts and cards?,You can visit any OCBC Singapore branches or call our Personal Banking hotline1800 363 3333to reactivate the services.,74,118,15,18
Can customers use their corporate cards to suspend the operation of their personal OCBC bank accounts and OCBC cards (including the operation of these accounts and cards through OCBC Digital)?,"No – customers will need to use their personal ATM, debit or credit card to use this feature at the ATM/ ATM+.",192,110,30,22
How to terminate your GIRO payment arrangement?,"OCBC Internet BankingLog in toOCBC Internet BankingEnter your access code, PIN and one-time passwordScroll over “Payments & Transfers” and select “GIRO services”Select “GIRO arrangements”Search for the GIRO arrangement under the current or saving account it is paid fromSelect “GIRO arrangement” and click “Terminate”OCBC DigitalLog in to OCBC Digital app.Tap on the menu bar on the top left of the screen.Tap on “Pay”.Select “GIRO services"".Select “View or terminate GIRO”.Follow the mobile banking instructions.You can also go to any of our branches or call us at 1800 363 3333Note:You can only terminate GIRO arrangements that are currently active.The online termination service is available daily between 5am to 9.30pm. If you submit instructions between 9.30pm to 5am, this instruction will not be processed and you will need to submit again.If your OCBC credit card bills bear the same reference number as your NRIC/FIN/Passport, once you terminate one GIRO arrangement, the arrangements for all these cards will also be terminated.Terminated GIRO arrangements will only be show on INB/MB for up to 6 months and thereafter it will be auto deleted from the INB/MB.When will the termination take effect?If you terminate any GIRO arrangement online, the termination is immediate. Please be reminded to pay any outstanding payment to the billing organisation through other payment means.",47,1389,7,210
How different is the 360 Account from other savings or current accounts?,"The 360 Account is a deposit account that pays you bonus interest when you do all or any of these:Credit your salary through GIRO/PayNow via GIROSave and increase your account balanceCharge at least S$500 to your OCBC 365, OCBC 90°N, OCBC INFINITY, OCBC NXT or OCBC Rewards CardInsure with OCBCInvest with OCBCThe account comes with e-statements and you can choose to have a cheque book.",72,387,12,65
How is the interest calculated?,"You get 2 types of interest on your account balance every month.Base interest:This interest is accrued daily based on your account's day-end balance and you will receive this at the end of the month.Bonus interest:For the SIX types of bonus below, you will earn bonus interest at 3 tiers based on your account balance, up to the first S$100,000:Earn up to 4.0% a year for crediting your salary of at least S$1,800 through GIRO/PayNow via GIRO and/orEarn up to 2.4% a year for increasing your account average daily balance by S$500 from the previous month and/orEarn up to 0.6% a year for spending at least S$500 on your OCBC 365, OCBC 90°N, OCBC INFINITY, OCBC NXT or OCBC Rewards Card and/orEarn up to 2.4% a year for 12 consecutive months when you purchase an eligible insurance product from OCBC and/orEarn up to 2.4% a year for 12 consecutive months when you purchase an eligible investment product from OCBC and/orEarn 2.4% a year if your account average daily balance is S$200,000 or more.For illustration purpose:Bonus Interest CategoriesMaximum interest earned a year1SALARYS$2,500SAVES$1,500SPENDS$600INSURES$1,500INVESTS$1,500GROWS$2,400TOTALS$10,0001The maximum interest earned is computed based on the effective interest rate of the respective bonus interest categories and the bonus interest balance cap.Please refer to thecalculatorto find out more.",31,1363,5,209
How am I able to earn an effective interest rate of 7.65% a year with the 360 Account?,"The effective interest rate of 7.65% a year can be earned on your account balance up to S$100,000, provided you meet the bonus criteria for Salary Credit, Save, Spend, Insure and Invest.",86,186,18,32
How will I know that the bonus interest is credited to my 360 Account?,"Your bonus interest will be reflected in the transaction history of your e-statement, Online Banking and OCBC Digital app as follow:360 SALARY BONUS360 SAVE BONUS360 CC SPEND BONUS360 INSURE BONUS360 INVEST BONUS360 GROW BONUSIf you close your account before the bonus interest crediting date, the bonus interest for the previous month will be forfeited.",70,354,14,54
Can I open more than one 360 Account?,Each customer is only allowed to open one 360 Account where he/she is the Primary Account holder. The signing mandate can be either signed singly or joint alternate.,37,165,8,28
Can I use the money in my 360 Account?,Yes you can. There is no lock-in period for this account. You can withdraw money with a debit card and/or access your money through OCBC Online Banking.,38,152,9,27
How do I qualify for the Salary Bonus interest?,"You need to credit a minimum salary of S$1,800 to your 360 Account every calendar month. You can meet this minimum salary requirement through a single credit or multiple credits each calendar month. If there are multiple joint account holders, the total salary amount credited to the account will be considered in meeting the Salary Credit Bonus requirement.",47,358,9,58
Does all salary credit qualify?,"While there are many ways salary gets credited into an account, only direct salary credits through GIRO with the description ""GIRO - SALARY"" in your statements will qualify for this bonus. Other forms of salary credit such as cheques, cash deposit, fund transfer, etc., strictly do not qualify for this bonus interest.",31,318,5,52
How do I set up my 360 Account as my salary crediting account?,You just need to inform your HR department of your 360 Account number as the salary crediting account. You will only need to do it once.,62,136,13,26
How do I qualify for the Spend Bonus Interest?,"You need to spend a minimum of S$500 on your OCBC 365, OCBC 90°N, OCBC INFINITY, OCBC NXT or OCBC Rewards Card. Eligible transactions with posting date within the calendar month will be considered, less off and excluding amounts in all transactions that are terminated, voided, reversed or cancelled.You must also be the Primary Account Holder of the OCBC 360 Account as well as the Principal Cardmember of the OCBC 365, OCBC 90°N, OCBC INFINITY, OCBC NXT or OCBC Rewards Card.If there are multiple joint account holders, only card spends by the Primary Account holder who is the principal cardmember will be considered in meeting the Credit Card Spend Bonus requirement.Transactions charged by the Supplementary Credit Card will be aggregated and consolidated under the Principal Credit Card.",46,793,9,127
Does my spend from other OCBC Credit Cards qualify for the Spend Bonus Interest?,"No. Only spends charged to the OCBC 365, OCBC 90°N, OCBC INFINITY, OCBC NXT or OCBC Rewards Card qualify for this bonus interest.You can navigate to the respective Credit Card page to apply:OCBC 365 Credit CardOCBC 90°N MastercardOCBC 90°N Visa CardOCBC INFINITY Cashback CardOCBC NXT Credit CardOCBC Rewards Card",80,313,14,49
"What about the existing privileges for my OCBC 365, OCBC 90°N, OCBC INFINITY, OCBC NXT or OCBC Rewards Card?","On top of the bonus interest, you will also enjoy all existing privileges of qualifying Credit Cards. Hence, you could be doubly rewarded! Should you not qualify for the bonus interest, you will still enjoy all the privileges of your qualifying Credit Cards.",108,258,19,43
What transactions are excluded from this bonus?,Examples of transactions that do not qualify for this bonus:Balance transfersCash-On-InstalmentCash advancePayLiteFees and chargesTransactions performed at merchants that fall into the exclusion categories/ excluded organizations as set out by OCBC Bank at:Terms and conditions governing OCBC 365 Credit Card Cashback Programme (with effect from 1 April 2021)Terms and conditions governing the OCBC 90°N Mastercard programme (with effect from 1 November 2021)Terms and conditions governing the OCBC 90°N Visa Card programmeTerms and conditions governing the OCBC Rewards Card Programme (with effect from 1 April 2021)Refunded transactions will be deducted from the qualifying spend for the computation and award of this bonus.,47,726,7,100
Where can I apply for the qualifying Credit Cards?,You can navigate to the respective Credit Card page to apply:OCBC 365 Credit CardOCBC 90°N MastercardOCBC 90°N Visa CardOCBC INFINITY Cashback CardOCBC NXT Credit CardOCBC Rewards Card,50,184,9,27
For illustration purpose:MonthAccount average daily balanceEligible for Save Bonus?,"You need to increase your account's average daily balance by at least S$500 from the previous month's average daily balance.OctoberS$50,000-NovemberS$50,500YesDecemberS$40,000NoJanuaryS$80,000Yes",83,195,9,20
How do I qualify for the Insure Bonus interest?,"You need to purchase any eligible insurance product of at least the minimum amount through OCBC Bank to earn up to 2.40% a year. Purchases of the same financial product will be aggregated, if their effective date post free look/cancellation period or 14 days, whichever is longer, falls in the same calendar month.For illustration purpose:Table below shows a customer who purchases an eligible insurance product in October 2022, with S$25,000 account balance in October and S$100,000 from November 2022 to September 2023.MonthAccount balanceInsure Bonus Interest (% a year)OctoberS$25,0000.6%NovemberS$100,0001.2% on the first S$75,000 and 2.4% on the next S$25,000DecemberJanuaryFebruaryMarchAprilMayJuneJulyAugustSeptemberNote: To ensure that the product you purchase meets your financial needs, our financial consultants will perform a Financial Needs Analysis (FNA) with you in order to help you make an informed decision.",47,926,9,130
When will I receive the Insure Bonus?,"You will receive the Insure Bonus for 12 consecutive months after the effective date of purchase post free-look period or 14 days, whichever is later. Effective date refers to the inception date of the insurance product.For example:Effective dateEffective date post free look period or14 daysFirst month of Insure Bonus1 February15 FebruaryFebruary
                (Interest will be creditedin March)20 February4 MarchMarch
                    (Interest will be creditedin April)",37,479,7,63
What happens if I subsequently purchase another eligible insurance product before the completion of my current 12-month bonus period?,"The Insure Bonus earned on your 360 Account will be extended for another 12 consecutive months after the effective date of (your most recent) purchase post free-look period or 14 days, whichever is later.",133,204,19,34
How can I pay for the eligible insurance products?,"There are many ways to pay for insurance products:Cash, cheque or credit card (except for PrimeGold Bonus 2 which also can be purchased using funds from your SRS account (any agent bank)",50,186,9,32
Want to find out more about eligible insurance products?,Pleaseleave your contact detailsand our Personal Financial Consultants get in touch with you.,56,93,9,13
What insurance products are excluded from this bonus?,These are examples of insurance products that do not qualify for this bonus:Fire InsuranceTravel InsuranceCar Insurance,53,119,8,16
How do I qualify for the Invest Bonus interest?,"You need to purchase any eligible investment product of at least the minimum amount through OCBC Bank to earn up to 2.40% a year. Purchases of the same financial product will be aggregated, if their effective date post free look/cancellation period or 14 days, whichever is longer, falls in the same calendar month.For illustration purpose:Table below shows a customer who purchases an eligible investment product in October 2022, with S$25,000 account balance in October and S$100,000 from November 2022 to September 2023.MonthAccount balanceInvest Bonus Interest (% a year)OctoberS$25,0000.6%NovemberS$100,0001.2% on the first S$75,000 and 2.4% on the next S$25,000DecemberJanuaryFebruaryMarchAprilMayJuneJulyAugustSeptemberNote: To ensure that the product you purchase meets your financial needs, our financial consultants will perform a Financial Needs Analysis (FNA) with you in order to help you make an informed decision.",47,928,9,130
When will I receive the Invest Bonus?,"You will receive the Invest Bonus for 12 consecutive months after the effective date of purchase post free-look period or 14 days, whichever is later. Effective date refers to the inception date of the insurance product, trade date of unit trust, deposit start date of structured deposit and transaction date of other relevant investment products.For example:Effective dateEffective date post free look period or14 daysFirst month of Invest Bonus1 February15 FebruaryFebruary
                (Interest will be creditedin March)20 February4 MarchMarch
                    (Interest will be creditedin April)Unit trusts or structured deposits investments that are subsequently cancelled will not be considered towards the minimum qualifying amount within the relevant calendar month.",37,781,7,105
What happens if I subsequently purchase another eligible investment product before the completion of my current 12-month bonus period?,"The Invest Bonus earned on your 360 Account will be extended for another 12 consecutive months after the effective date of (your most recent) purchase post free-look period or 14 days, whichever is later.",134,204,19,34
Do I continue to get this bonus interest if I sell my investments or when they mature?,Yes. You will continue to get this bonus interest.,86,50,17,9
How can I pay for the eligible investment products?,"There are many ways to pay for the investment products:Structured Deposits: Funds from your OCBC deposit account or SRS account (any agent bank)Unit Trusts: Funds from your OCBC deposit account, or CPF/SRS account (any agent bank) for applicable fundsBonds, Equity-Linked Convertible Investments, Reverse Equity-Linked Convertible Investments, Structured Investments and Structured Notes: Funds from your OCBC deposit account",51,425,9,57
Where can I find more information on the eligible investment products?,"Unit Trusts, please clickhere.Structured Deposits, please clickhereor visit any OCBC Bank branch.Bonds, Equity-Linked Convertible Investments, Reverse Equity-Linked Convertible Investments, Structured Investments and Structured Notes, please contact your Premier Banking Relationship Manager.Alternatively, pleaseleave your contact detailsand our Personal Financial Consultants will get in touch with you.",70,405,11,45
What investment products are excluded from this bonus?,These are examples of investment products that do not qualify for this bonus:Cash EquitiesDual Currency ReturnsFinancing FacilityForeign Exchange (FX)OCBC Blue Chip Investment PlanOCBC RoboInvestSingapore Savings Bond,54,217,8,26
For example:MonthAverage daily balancefor the monthQualify for Grow bonus?,"You will earn this bonus interest if your account's average daily balance is at least S$200,000.OctoberS$60,000NoNovemberS$250,000YesDecemberS$200,000YesJanuaryS$300,000Yes",74,172,9,16
What is a Limited Purpose Bank Account?,"A Limited Purpose Bank Account is a Passbook savings account that can only be used by an individual for personal basic banking needs, and to receive funds from the following approved sources:Salary from employersGovernment disbursementsInsurance payoutsOther approved payouts approved by the BankView theTerms and conditions governing Limited Purpose Bank Accounts.",39,365,7,50
SGD Time DepositCan I withdraw my Time Deposit before maturity?,"Yes, you can (except for Time Deposit placed using CPF Ordinary Account funds). However, you may earn less or no interest if you withdraw your Time Deposit before maturity.Where can I submit a request to withdraw my Time Deposit before maturity?You can submit a request via OCBC Mobile Banking. Refer to thestep by step guide.When can I submit my request?Our Time Deposit withdrawal hours are fromMonday to Friday, 6:00 AM to 7:00 PM, up to 2 business days before your maturity date.Any requests after these hours will be processed the next day, excluding weekends, public holidays and currency holidays.Can I submit the request on date of maturity?You will not be able to submit on the maturity date itself as the Time Deposit would have matured on date of maturity.What are the requirement in order to submit this request?You must have a OCBC Current or Savings Account upon submission of this request as the crediting account to receive your funds upon withdrawal.Why am I unable to see the withdrawal option in my Mobile Banking?Your Time Deposit may not be eligible for this function. Please visit any OCBC Branch for withdrawal.Is there any withdrawal fee when I withdraw my Time Deposit before maturity?If you withdraw your Time Deposit before it matures, you may earn less or no interest (depending on the length of the remaining tenor). You may also incur an early withdrawal fee.Foreign Currency Time DepositCan I withdraw my Time Deposit before maturity?Please visit any OCBC Branch for withdrawal.Is there any withdrawal fee when I withdraw my Time Deposit before maturity?If you withdraw your Time Deposit before it matures, you may earn less or no interest (depending on the length of the remaining tenor). You may also incur an early withdrawal fee.",63,1764,10,291
Can I renew my maturing Time Deposit at prevailing promotion rates?,"Yes, you can submit a request via OCBC Mobile Banking to renew your upcoming maturing Time Deposit at prevailing promotion rates.If the tenure of my existing Time Deposit does not have a promotion rate, can I submit the request?No, you will not be able to renew at promotion rate if you do not have an existing Time Deposit the tenure offered under the promotion. Alternatively, you can make a New Placement to enjoy the promotion rate.If the amount of my existing Time Deposit does not meet the minimum deposit amount requirement for promotion rate, can I submit the request?No, you will not be able to renew at promotion rate if your existing Time Deposit is less than the minimum amount required for the promotion. Alternatively, you can make a New Placement to enjoy the promotion rate.When can I start submitting the request?You can submit the request between 2 to 5 business days before the maturity date of your eligible Time Deposit.When will the promotion rate be applied to my existing Time Deposit?The promotion rate will be applied to your existing Time Deposit effective from its original maturity date.How can I enjoy the promotion rate if I don’t have an upcoming maturity Time Deposit?You can make a New Placement to enjoy the promotion rate.I have an upcoming maturing Time Deposit, but I do not see the “Renew at promotion rate” option on OCBC Mobile Banking, what should I do?This may mean that there is no promotion rate at the moment, or your Time Deposit is not eligible. You may visit any OCBC Bank branch or submit a form on OCBC Internet Banking for more assistance.Foreign Currency Time DepositThere is no promotion rate at the moment. Visit ourForeign Currency Time Deposit board rate pagefor more information.",67,1737,11,294
SGD Time DepositCan I change my Time Deposit maturity instructions?,"Yes, you can do so via OCBC Mobile Banking up to 2 working days before maturity. You can change the following maturity instructions for your existing Time Deposit:Auto renew Principal and InterestAuto renew Principal, receive InterestReceive Principal and InterestCan I change the maturity instructions more than once?Yes, you can change the Time Deposit maturity instructions multiple times if you submit your requests up to 2 working days before maturity.Foreign Currency Time DepositCan I change my Time Deposit maturity instructions?There is no promotion rate at the moment. Visit ourForeign Currency Time Deposit board rate pagefor more information.",67,654,10,96
What is an overlimit fee?,"An overlimit fee is a fee charged by the bank when a customer’s total outstanding balances across all credit cards exceed their assigned credit limit.When will an account go into overlimit?Your account may go into overlimit if you fully utilise your available credit limit and subsequently incur interests, fees and charges. Some examples include currency conversion fee for overseas purchases and prevailing interest charges on outstanding balances past due.If I have multiple credit cards with different credit limit, will I be charged an overlimit fee if I exceed the credit limit for one of my credit cards?You will be charged an overlimit fee if your total outstanding balances exceed your combined credit limit.Example #1Combined credit limit S$12,000Credit LimitOutstanding Balance on StatementCard AS$10,000S$11,000Card BS$2,000S$500Card CS$12,000S$0In the example above, the total outstanding balance of S$11,500 is within the combined credit limit of S$12,000. Hence, an overlimit fee will not be charged.Example #2Combined credit limit S$12,000Credit LimitOutstanding Balance on StatementCard AS$10,000S$11,000Card BS$2,000S$1,500Card CS$12,000S$0In the example above, the total outstanding balance of S$12,500 is above the combined credit limit of S$12,000. Hence, an overlimit fee will be charged.Combined credit limit is the credit limit assigned across all credit cards with the bank which you have indicated at time of application or assigned by the bank based on your annual income.If I have multiple credit cards with different statement cycle, which credit card will the overlimit fee be charged to?Overlimit fee will be charged to the credit card with the earliest statement cycle and highest outstanding balance.ExampleA cardmember has multiple Credit Cards with a combined credit limit of S$15,000. Both credit cards are on different statement cycles.Credit LimitOutstanding Balance on StatementStatement cycleCard AS$15,000S$16,00019 December 2021Card BS$2,000S$1,00017 December 2021Based on the above example, if the cardmember goes into overlimit on 15 December 2021, overlimit fee will be charged to Card B’s statement as it is the earliest statement cycle. If there are multiple credit cards on the earlier statement cycle, overlimit fee will be charged to the card with the highest outstanding balance.What is an additional interest charge?It is an additional interest charge by the bank on top of the current prevailing interest rate per annum when a cardmember does not make the minimum payment by the specified statement due date.Additional interest will apply to primary and supplementary credit card accounts and all outstanding balances except cash advance.I am an existing credit cardmember with additional interest charges at 29.88% per annum, how can I revert my assigned rate to the prevailing interest of 26.88% per annum?This interest rate will revert to the prevailing interest rate of 26.88% per annum when you make the minimum payment on time for three (3) consecutive months.",25,3019,5,446
