Question,Sub Quest/Answer,Question_Char_Length,Sub_QA_Char_Length,Question_Word_Length,Sub_QA_Word_Length
Changes in Maybank banking details from 5 November 2018,"Malayan Banking Berhad, Singapore Branch (MBS) will be transferring its Community Financial Services business to Maybank Singapore Limited (MSL), a subsidiary incorporated in Singapore. The transfer will include:For RetailPersonal bankingPrivilege wealthPremier wealthPrivate wealthSME – Retail, Small Medium Enterprises (RSME) Banking andCommercial BankingWhom does this impactCustomers who have currently set up a Maybank payee belonging to the segments listed aboveHow this impactsyouFund Transfers to Maybank payees with bank description name “Malayan Banking Berhad” will fail from 5 November 2018. This applies to future dated transfers set up on or before 5 November 2018 as well.What you need to do from 5 November onwardsIf you have successfully performed a FAST transfer to an existing Maybank Singapore Branch Account (the “Payee”) belonging to the segments listed above, between 3 November 2016 to 2 November 2018, OCBC Bank will convert the banking details of the Payee from “Malayan Banking Berhad” to “Maybank Singapore Limited”, without any action required of you. This includes changing a new BIC/Bank code.Please note that OCBC Bank will make these changes without any further instruction from you.For the remaining affected Payees that were not converted to the new banking details, please use the steps below to delete your existing payee details and add a new payee with the correct details:FAST transferLogin to OCBC Internet Banking.On the “Payment & transfer” tab of the top navigation, select “Transfer funds” in the dropdown menu.Select “Add & manage payees” on the left menuSelect the affected Maybank retail banking accounts that you wish to delete and click on “Delete account”Click on “Add account” under the category “Accounts at other banks in Singapore” and select “Maybank Singapore Limited”as the bank name.Fill in the required details and a token PIN will be required to successfully add the new Maybank payee with the updated detailsRecurring / Future-dated transferLogin to OCBC Internet BankingOn the “Payment & transfer” tab of the top navigation, select “Transfer funds” in the dropdown menuSelect “Manage future-dated and recurring transfer” on the left menuClick on “Delete” for the corresponding funds transfer to the affected Maybank retail banking accountSelect the recurring/ future transfers scheduled and click on “Delete Selected""Ensure that the status is changed to “Deleted”After deletion, select “Add & manage payees” on the left menuSelect the affected Maybank retail banking accounts that you wish to delete and click on “Delete account”Click on “Add account” under the category “Accounts at other banks in Singapore” and select “Maybank Singapore Limited”as the bank nameFill in the required details and a token password will be required to successfully add the new Maybank payee with the updated detailsSelect “Make a transfer” on the left menu.Click on make a transfer “to another bank account in Singapore”Enter the details of the transfer and click on “Submit”Change in Maybank Banking details with effect from 5 November 2018For funds transfers toMaybank Singapore LimitedFor funds transfer toMalayan Banking Berhad,Singapore BranchBank’s full name:Maybank Singapore Limited“MSL”Malayan Banking Berhad,Singapore Branch“MBS”Customer segmentCommunity Financial ServicesFor RetailPersonal bankingPrivilege wealthPremier wealthPrivate wealthSME - Retail, Small Medium Enterprises (RSME) BankingCommercial BankingGlobal BankingCorporate bankingGlobal marketsSWIFT Bank Identifier Code (BIC):MBBESGS2MBBESGSGBank Code:73029636FAST bank description:Maybank Singapore LimitedMalayan Banking BerhadName displayed in OCBC Online Banking fund transfer screenMaybank Singapore LimitedMalayan Banking BerhadShort name displayed in OCBC ATM fund transfer screenMAYBK-SGMAYBK-BRPlease note that from Friday 2 November 2018 (4pm) till Monday 5 November 2018 (8am), FAST and PayNow service will not be available for Maybank.For more information on the change in Maybank Banking details, please visithttps://info.maybank2u.com.sg/about-us/local-incorporation.aspx",55,4106,9,567
Changes in HSBC Banking Details,"Hongkong and Shanghai Banking Corporation Limited, Singapore Branch (""HSBC Singapore Branch"") is subsidiarising its Retail Banking and Wealth Management business in Singapore (the ""RBWM Business"") whereby retail accounts of the RBWM Business of HSBC Singapore Branch (the ""HSBC Singapore Branch Retails Accounts"") will be automatically transferred to a locally incorporated subsidiary, HSBC Bank (Singapore) Limited (the""Subsidiary"").How it impacts you and what you need to doIf you would like to do an adhoc or future-dated/recurring fund transfer to HSBC Retail Account, please update your existing HSBC payee banking details manually by following these steps below. You may update the stored details of HSBC payee(s) manually via OCBC Online Banking from9 May 2016 (0900hr)to prevent the FAST transfer from being rejected.Ad-hoc FAST transferLogin toOCBC Internet BankingOn the ""Payment & transfer"" tab of the top navigation, select ""Transfer funds"" in the drop down menuSelect ""Add & manage payees"" on the left menuSelect the affected HSBC personal banking accounts that you wish to delete and click on ""Delete account""Click on ""Add account"" under the category ""Accounts at the other banks in Singapore"" and select ""HSBC (Personal)"" as the bank nameFill in the required details and a token PIN will be required to successfully add the new HSBC payee with the update detailsFuture-dated / Recurring transferLogin toOCBC Internet BankingOn the ""Payment & Transfer"" tab of the top navigation, select ""Transfer funds"" in the dropdown menuSelect “Manage future-dated and recurring transfer” on the left menuSelect the affected fund transfer to HSBC personal banking account and click 'Delete"". Ensure that the status is changed to ""Deleted""After deletion, select 'Add & manage payees"" on the left menuSelect the affected HSBC personal banking accounts that you wish to delete and click on ""Delete account""Click on ""Add account"" under the category ""Accounts at other banks in Singapore"" and select ""HSBC(Personal)"" as the bank nameFill in the required details and a token password will be required to successfully add the new HSBC payee with the updated detailsSelect ""Make a transfer"" on the left menuClick on make a transfer to ""another bank account in Singapore""Enter the details of the transfer and click on ""Submit""For more information on the change in HSBC banking details, please visithttp://www.hsbc.com.sg/retailbank.HSBC banking details changes with effect from 9 May 2016Funds transfers to HSBCpersonalaccount(changes with effect from 9 May 2016)For funds transfer to HSBCcorporateaccount(No change)Bank's full name:HSBC Bank (Singapore) LimitedThe Hongkong and ShanghaiBanking Corporation Limited, Singapore BranchSwift Bank Identifier Code (BIC):HSBCSGS2HSBCSGSGBank Code:95487232Fast Bank description:HSBC BANK (SINGAPORE) LTDHONGKONG AND SHANGHAI BANKING CORPName displayed inOCBC Onling Banking fund transfer screenHSBC (Personal)HSBC (Corporate)Short name displayed inOCBC ATM fund transfer screenHSBCPERSHSBC BIZ",31,3028,5,429
Termination of The Royal Bank of Scotland plc from FAST and GIRO Funds Transfer,"Hongkong and Shanghai Banking Corporation Limited, Singapore Branch (""HSBC Singapore Branch"") is subsidiarising its Retail Banking and Wealth Management business in Singapore (the ""RBWM Business"") whereby retail accounts of the RBWM Business of HSBC Singapore Branch (the ""HSBC Singapore Branch Retails Accounts"") will be automatically transferred to a locally incorporated subsidiary, HSBC Bank (Singapore) Limited (the""Subsidiary"").How it impacts you and what you need to doIf you would like to do an adhoc or future-dated/recurring fund transfer to HSBC Retail Account, please update your existing HSBC payee banking details manually by following these steps below. You may update the stored details of HSBC payee(s) manually via OCBC Online Banking from9 May 2016 (0900hr)to prevent the FAST transfer from being rejected.Ad-hoc FAST transferLogin toOCBC Internet BankingOn the ""Payment & transfer"" tab of the top navigation, select ""Transfer funds"" in the drop down menuSelect ""Add & manage payees"" on the left menuSelect the affected HSBC personal banking accounts that you wish to delete and click on ""Delete account""Click on ""Add account"" under the category ""Accounts at the other banks in Singapore"" and select ""HSBC (Personal)"" as the bank nameFill in the required details and a token PIN will be required to successfully add the new HSBC payee with the update detailsFuture-dated / Recurring transferLogin toOCBC Internet BankingOn the ""Payment & Transfer"" tab of the top navigation, select ""Transfer funds"" in the dropdown menuSelect “Manage future-dated and recurring transfer” on the left menuSelect the affected fund transfer to HSBC personal banking account and click 'Delete"". Ensure that the status is changed to ""Deleted""After deletion, select 'Add & manage payees"" on the left menuSelect the affected HSBC personal banking accounts that you wish to delete and click on ""Delete account""Click on ""Add account"" under the category ""Accounts at other banks in Singapore"" and select ""HSBC(Personal)"" as the bank nameFill in the required details and a token password will be required to successfully add the new HSBC payee with the updated detailsSelect ""Make a transfer"" on the left menuClick on make a transfer to ""another bank account in Singapore""Enter the details of the transfer and click on ""Submit""For more information on the change in HSBC banking details, please visithttp://www.hsbc.com.sg/retailbank.HSBC banking details changes with effect from 9 May 2016Funds transfers to HSBCpersonalaccount(changes with effect from 9 May 2016)For funds transfer to HSBCcorporateaccount(No change)Bank's full name:HSBC Bank (Singapore) LimitedThe Hongkong and ShanghaiBanking Corporation Limited, Singapore BranchSwift Bank Identifier Code (BIC):HSBCSGS2HSBCSGSGBank Code:95487232Fast Bank description:HSBC BANK (SINGAPORE) LTDHONGKONG AND SHANGHAI BANKING CORPName displayed inOCBC Onling Banking fund transfer screenHSBC (Personal)HSBC (Corporate)Short name displayed inOCBC ATM fund transfer screenHSBCPERSHSBC BIZ",79,3028,14,429
Set up GIRO payment with OCBC,"OCBC InternetLogin toonline bankingEnter your access code, PIN and one-time passwordScroll over “Payments & Transfers” and select “GIRO services”“Set up GIRO payment”Complete and submit the formOCBC Mobile BankingLogin to mobile banking.Tap on the menu bar on the top left of the screen.Tap on “Pay”.Select “GIRO services”.Select “Set up GIRO payment”.Select the organisation and follow the mobile banking instructions.Your application will be sent to the billing organisation so they can update their billing records. They will let you know within 14 days if your application is successful. Please clickhereto refer to the list of billing organisations and the bill reference number format guide for GIRO applicationRead theterms and conditions governing GIRO Arrangements.",29,774,6,111
Set up eGIRO via your billing organisation website,"Access eGIRO registration page from the billing organisation websiteSelect OCBC Bank and submit the formYou will be redirected to OCBC Internet BankingEnter your access code, PIN and one-time password“Set up eGIRO payment”Complete and submit the formYou will be redirected back to your billing organisation website to check the status of your applicationIf you are a corporate applicant or from a billing organisation, please find out morehere.Read theterms and conditions governing eGIRO arrangementsand theterms and conditions governing GIRO arrangements via the OCBC eGIRO Service.",50,584,8,83
Terminate eGIRO payment arrangement via your billing organisation website,"Access the eGIRO arrangement you wish to terminate from the billing organisation websiteYou will be redirected to OCBC Internet BankingEnter your access code, PIN and one-time password“Terminate eGIRO payment”Submit the formYou will be redirected back to your billing organisation website to check the status of your terminationAlternatively, you can terminate via OCBC Internet Banking:Login to online bankingEnter your access code, PIN and one-time passwordGo to “Payment & Transfer” and select “GIRO services”“GIRO arrangements”Search for the eGIRO arrangement under the current or saving account it is paid fromSelect the eGIRO arrangement and click “Terminate”",73,665,9,93
Adding new payee for overseas funds transfer,"Viewstep by step guideto add new payee via OCBC Mobile Banking app.Viewstep by step guideto add new payee via OCBC Internet Banking.Alternatively, you can follow these steps below:To add a new payee or beneficiary,Login towww.ocbc.com/loginwith your Access Code and PIN.At the top menu, select Payment & transfer > Transfer funds > Make a transfer > to a bank account overseas (including overseas OCBC accounts)Under “Select one destination account”, select “Add account”.If you know the Swift code of the beneficiary bank account, select “I know the Swift code. Let me process by entering the swift code.” and fill in the Swift code in the field below.If you do not know the Swift code, select “I don’t know the Swift code. Help me search for the Beneficiary Bank I am transferring to.” and use the country selectors to select the bank you are paying to.If you do not find the branch or swift code of your desired branch, here's how you can find the Swift code.How to find SWIFT code:Ask your payee for his/her bank's SWIFT codeVisit Google.com and search using ""SWIFT code""Visit sources such ashttps://www.theswiftcodes.comorwww.bankswiftcode.organd search for the payee's country and name of the bank.Please note that the SWIFT code for some branches may differ due to the location of the branch and this will not affect your transfer.Note: If the swift code is 8 characters, please add XXX behind it to make it 11 characters.Add intermediary bank details (optional) if you have them.Fill in the account details for the beneficiary bank and select “Next”.Authorise with OneToken or your OTP and select “Submit”.Your beneficiary account has been set up and you can proceed to remit funds to this account.",44,1706,7,278
Cut-off time for same day transfers and payment processing,"Cut off timing for same day transfersYour money will be transferred from Singapore on a business day.Transfers submitted on Sunday, public holiday or after currencies cut-off time will be processed the next business day.Currency CodeSubmission cut off timeIDR9.20AM - 12PMHKD9.20AM - 3PMCAD, CHF, DKK, NOK, SEK, SGD, EUR, GBP, USD9.20AM - 4.30PMAUD, JPY, NZD, PHP9.20AM - 9.30AMINR, LKR, THB9.20AM - 3.30PM(Value next day)Please note the Inward Remittance cut-off time for crediting of accounts maintained with OCBC:Singapore Dollar Inward Telegraphic TransferCrediting to SGD Current and Savings Account:Payments received before 4.30pm will be processed and credited to customer's account within the same business day.Foreign Currency Inward Telegraphic TransferCrediting to SGD Current and Savings Account:Payments received before 4pm will be processed and credited to customer's account within the same business day.Crediting to Foreign Currency accountPayments involving USD/HKD/GBP received before 4pm will be processed and credited to customer's account within the same business day. Payment involving all other currencies will be processed and credited to customer's account on the next business day.",58,1207,9,168
How to remit money overseas,View thestep-by-step guideon how to remit money overseas online viaOCBC Digital app.View thestep-by-step guideon how to remit money overseas online viaOCBC Internet Banking.,27,173,5,23
Rate at which incoming funds are converted,We will use the Buying TT rate to convert your incoming funds.,42,62,7,12
Get transaction advices for Inward Remittance,"Yes, we will send you a computer generated advice with the transaction details. The advice will be sent to you via normal postal service on the next working day.",45,161,6,29
Money2India Transfers,Learn how to make Money2India transfershere,21,43,2,6
Maintain credit account,"For remittance in US Dollars to OCBC Bank Singapore in favour of your account with us, kindly advise your remitter or remitting bank to pay as follows:Beneficiary BankOversea-Chinese Banking Corporation LimitedSingaporeSWIFT Code: OCBCSGSGCHIPS UID: 010275Intermediary BankJP Morgan Chase Bank, New YorkNew York, USASWIFT Code: CHASUS33ABA Routing No.:FW021000021CHIPS UID: CP0002(Please note that you should advise your remitter or remitting bank to indicate the SWIFT Code, ABA Routing No. or CHIPS UID in the payment instruction)Indicate the account number and account name as maintained with OCBC accordingly. For funds crediting to Foreign Currency account, please indicate the 3-digit account currency code which is part of the account number e.g. 501123456201USDFor same-day crediting, remitting bank must inform Oversea-Chinese Banking Corporate Ltd, Singapore to confirm payment by authenticated SWIFT or test telex by 4pm Singapore time (for crediting into Foreign Currency Account) and 4.30pm Singapore time (for crediting into Singapore Dollars account).",23,1066,3,148
Change in HSBC Bank details,Find out more,27,13,5,3
Pricing guide,"Demand draft is a way of transferring funds overseas at a lower cost. With a written order to our overseas corresponding bank, the demand draft will be honoured when it is banked in and cleared accordingly.Download the full pricing guide for Personal Banking Products",13,267,2,44
Billing Organisations,"Government, Statutory Boards and Taxes:HDB – Housing Loan InstalmentHDB – Residential RentHDB – Late Payment Charges (Housing Loan)HDB – Late Payment Charges (Residential Rent)HDB – Commercial Rent & ChargesIRAS – Income TaxIRAS – Property TaxIRAS – Other TaxesJTC Corporation#MOE Post Secondary Education Account (PSEA) Contribution*#Utilities and Telecommunications:Geneco – Seraya EnergyM1 LimitedNexwave Telecoms Pte Ltd (formerly known as ST SunPage)Singapore TelecomSP GroupStarHub Ltd#Town Councils:Aljunied-Hougang Town CouncilAng Mo Kio Town CouncilBishan-Toa Payoh Town CouncilChua Chu Kang Town CouncilEast Coast-Fengshan Town CouncilHolland-Bukit Panjang Town CouncilJalan Besar Town CouncilJurong-Clementi Town CouncilMarine Parade Town CouncilMarsiling-Yew Tee Town CouncilNee Soon Town CouncilPasir Ris - Punggol Town CouncilSembawang Town CouncilSengkang Town CouncilTampines Town CouncilTanjong Pagar Town CouncilWest Coast Town CouncilFinancial Institutions:ICICI Bank LtdiFAST Financial Pte LtdOCBC Car FinancingCredit Cards:American Express International Inc.Diners Club (S) Pte LtdOCBC Credit Card#OCBC CardDepartmental Stores and Retail Services:Courts (Singapore) LtdIsetan (S) LimitedOther Service Providers:BOS Centre Car ParkBukit Batok Driving Centre LtdMetro Parking (S) Pte LtdOCBC OTC Car ParkCountry Clubs and Societies:Chinese Swimming ClubNational Service Resort & Country ClubNational University of Singapore SocietyOrchid Country ClubSAFRA National Service AssociationSingapore Cricket ClubSoka Gakkai SingaporeSingapore Island Country ClubSingapore Swimming ClubThe American ClubThe Law Society of SingaporeSecurities Firms:CGS-CIMB Securities (Singapore) Pte LtdKGI Securities (Singapore) Pte LtdLim & Tan Securities Pte LtdMaybank Securities Pte LtdOCBC Securities Pte LtdOCBC Securities Pte Ltd – Forex & FuturesOCBC-ESPP (For OCBC staff)OCBC-SOS (For OCBC staff)Phillip Securities Pte LtdEducation:Anglo-Chinese School (Independent)Insurance:American International Assurance Co LtdGreat Eastern General InsuranceGreat Eastern Life Assurance(10 Digit)Great Eastern Life Assurance(8 Digit)Income Insurance LimitedTokio Marine Life Insurance (Singapore) Ltd* Default Bill Payee Organisations# The following billing organizations are only available on the channels specified:MOE PSEA Contribution is only available on ATM / ATM PlusStarHub Ltd is only available on Online Banking, Digital App and Phone BankingOCBC Credit Cards are available on ATM, Online Banking, Digital App and  Phone BankingICICI Bank Ltd is only available on Online Banking and Digital AppJTC Corporation is only available on Online Banking and Velocity",21,2662,2,320
Eligibility,You must have all of the following:Online Banking access code and registered 2FA Token.Savings or current account that enables payment and is tagged to OCBC Online Banking.,11,172,1,27
Fees and charges,There is no bank service charge for using this service.,16,55,3,10
Changing your payment limit,Login to your OCBC Online Banking and update your limit by clicking on Customer Service > Update Transaction Limits.,27,116,4,19
We regret that we will no longer offer the Pay Any Card service at ATMs,"From 3 May 2021, we regret that we will no longer offer the Pay Any Card service at ATMs. 
Please use OCBC Digital Banking (Mobile/Internet Banking) to pay your bills instantly – or make alternative arrangements – for credit cards issued by the following banks:DBS Bank/POSBUnited Overseas BankBank of ChinaCitibankStandard Chartered BankICBCFor a seamless banking experience, you may wish to pay your other banks' credit card bills viaOCBC Digital Banking.",71,457,15,70
Cash & Deposit Transaction Codes,Clickhereto view the transaction codes,32,38,5,5
Retained ATM Card,Please call1800 363 3333(or+65 6363 3333if you are overseas). Your card may be damaged.,17,87,3,14
Withdrawal limit,"You may change your daily ATM withdrawal and spending limit via OCBC Internet Banking or the OCBC Digital app.OCBC Internet BankingLog in toOCBC Internet BankingEnter your access code, PIN and one-time passwordScroll over “Customer service” and select “Card withdrawal & spending limits”Select your new limitOCBC DigitalLog in toOCBC Digital app.Tap on the menu bar on the top left of the screen.Tap on “Card services”.Select “Card withdrawal & spending limit”.Follow the mobile banking instructions.Alternatively, you may request to change the daily withdrawal limit via the following methods:OCBC New ATM. Clickhereto view the list of locationsOCBC Service Kiosk. Clickhereto view the list of locationsVisit any of our OCBC branchesDownload the ATM card services for and submit the completed form at any of our branches or send to OCBC Bank, Card Operations, Robinson Road, P.O. Box 1386.The limit for local and overseas cash withdrawal, top-up of CEPAS/telco prepaid cards and NETS purchases is S$1,000, S$3,000, or S$5,000 per day depending on the daily limit you have signed up for.",16,1087,2,166
Fund transfer/ Bill Payment Limit,"The limit for transfer of funds and bill payment transactions is defaulted at S$5,000 per day, with a maximum monthly limit at S$25,000.",33,136,5,23
Deposit notes at OCBC ATMs with deposit services,"OCBC ATMs with Notes and Coins DepositNEW!You may deposit notes and coins conveniently at any of our new OCBC ATMs. Clickhereto view the list of locations.Deposit cash with or without an ATM card.S$2, S$5, S$10, S$50 and S$100 Singapore dollar notes and SG50 commemorative notes are accepted.Maximum 200 pieces of notes and not exceeding $20,000 per deposit.OCBC ATMs with Notes Deposit onlyYou may deposit notes conveniently at any of our OCBC ATMs with Notes Deposit service that are located island wide.Deposit cash with or without an ATM card or with a passbook.S$2, S$5, S$10, S$50 and S$100 Singapore dollar notes are accepted (SG50 commemorative notes are currently not accepted.)Maximum 200 pieces of notes and not exceeding $20,000 per deposit.Up to 10 deposits per account daily.",48,789,8,125
Deposits are not reflected in account,Please call1800 363 3333for assistance.,37,39,6,5
No response on machine,Please call1800 363 3333for assistance.,22,39,4,5
Security tips on using ATMs,"Do's & Don't's on ATM Card PIN ManagmentDo not choose a PIN that others can easily guess (e.g. birth date or telephone number).Do not use sequential numbers (e.g. 1,2,3,4,5,6..)Do memorise your PIN and do not write it down.Do not share your PIN with another person because it is the same as giving that individual authority to use your name in a transaction.Do not reveal your PIN to anyone. It should not be disclosed even if requested by an authorised OCBC Bank officer.Do change your PIN frequently.Security Tips When Performing Your ATM TransactionBefore you approach the ATM, look around and check out the area. If anything seems suspicious, go to a different machine or use it at another time.Block the pin pad when you are entering your PIN.When you have completed your transaction, put away your card, receipt and cash immediately. Look around again to check for anyone who looks suspicious.If you have concerns about the security of an ATM location, please contact us at1800 363 3333.",27,993,5,166
Fees and charges for ATM usage,"OCBC Wing Hang ATMs in Hong Kong and Macau: FreeOCBC Malaysia ATMs in Malaysia: FreeOCBC NISP ATMs in Indonesia: FreeOther ATMs in China and other countries with Visa/PLUS service:Nominal service charge of 3% is levied on the S$ equivalent of the amount withdrawn (min S$5 and max S$20 per transaction)Administrative fee of 1.8% of the foreign currency transaction^Additional service fee, which may vary from bank to bank, may be imposed by the ATM bank^Foreign currency transactions are converted to local currency based on the rate determined by the respective card associations. Costs incurred by the Bank due to this currency conversion, together with the administrative fee  will be debited to your card account as part of the foreign currency transaction[NEW]Revision of ATM Overseas Cash Withdrawal Administrative Fee for ATM and Debit CardsFrom 16 January 2019, the administrative fee for overseas ATM cash withdrawal performed using ATM cards and Debit Cards will be revised from 1.8% to 2.25% of the foreign currency transaction amount.",30,1046,6,163
I’ve noticed that I am still able to log in to the OCBC Digital via One-Look/ One-Touch.,"Please be assured that while you may still be able to log in via One-Look/ One-Touch, any current and/ or savings accounts or cards which you have suspended will not be displayed or available for use. No transactions on the suspended accounts or cards may be performed during the period of suspension.",88,301,17,52
Request for a cheque book,"Cheque book applicationApply for a cheque book via OCBC Internet Banking or the OCBC Digital app.Requests submitted before 7pm (Monday to Friday) and 5pm (Saturday) will take immediate effect. Requests submitted after these timings will be processed the next working day.OCBC Internet BankingLog in toInternet bankingwith your Access Code and PINAt the top menu, click on Customer service > Cheque services > Cheque book requestOCBC Digital appLog in to OCBC Digital app.Tap on the top left menu.Tap on Cheque services > Request for cheque bookFollow the on-screen instructions.Note:We charge a fee of S$10 per cheque book for SGD cheque book.S$10 cheque book fee is waived for all Premier and Private Bank EasiSave accounts.Cheque book(s) will be delivered to your account mailing address via normal mail in 5 working days.If you need a cheque book urgently, please call us at 1800 363 3333 before 10am for same day delivery between 2.30pm to 6pm, or before 3.30pm for next day delivery between 9am to 6pm. This arrangement is available between Mondays and Fridays, excluding public holidays.You can also apply for OCBC Deposit Account by completing thecheque book request form.",25,1179,5,187
Lost cheque / cheque book,"Cheque book applicationApply for your cheque book on OCBC Deposit Account by completing thecheque book request form.Online bankingLogin to online bankingEnter your access code, PIN and one-time passwordScroll over “Customer Service” and select “Manage Accounts”Select “Stop Cheque Payment”Requests submitted before 7pm (Mondays to Fridays), and 5pm (Saturdays) will take immediate effect.Requests submitted after these times will take effect on the next working day.Phone bankingDial 1800 363 3333 or (65) 6363 3333 if overseasSelect languagePress *3 and enter your phone banking access code and PIN followed by #Select 1 for Balance and transactionSelect 1 for BalanceSelect 2 for Banking Accounts and select accountSelect 3 for Cheque TransactionSelect 3 for Stop ChequeEnter cheque numberRequests submitted before 7pm (Mondays to Fridays), and 5pm (Saturdays) will take immediate effect.Requests submitted after these times will take effect on the next working day.Customer service centreDial 1800 363 3333 or (65) 6363 3333 if overseasSelect languagePress 0 and select 2 for BankingRequests submitted before 10pm daily will take immediate effect.Requests submitted after 10pm will take effect on the next working day.",25,1221,5,174
Status of issued cheque,"OCBC Internet BankingLog in toOCBC Internet BankingEnter your access code, PIN and one-time passwordScroll over ""Customer Service” and select “Cheque services”Click on the respective account and select “Cheque Status Inquiry”OCBC DigitalLog in to OCBC Digital app.Tap on the menu bar on the top left of the screen.Tap on “Cheque services”.Select “Check status"".Follow the mobile banking instructions.To stop a cheque today, make sure you submit your request before 7pm, from Mondays to Fridays, and before 5pm on Saturdays. Requests submitted after these times will be completed the next business day.A fee of S$15 is charged to stop a cheque and S$30 to stop a series of cheques.Online banking secured emailLogin to online bankingEnter your access code, PIN and one-time passwordScroll over “Mailbox” and click on “Compose Mail”Be informed on cheque status after the cheque has been presented to the bank.Customer service centreDial 1800 363 3333 or (65) 6363 3333 if overseasSelect languagePress 0 and select 2 for BankingBe informed on cheque status after the cheque has been presented to the bank.",23,1101,4,170
Cheques addressed to two or more payees,"Such cheques can be deposited into a joint account belonging to all or either one person's personal account, depending on how the cheque is written.If cheque is issued to all the Payees (e.g. Payee A and Payee B and Payee C etc.), cheque can be deposited to:A joint account operated with a single signing authority belonging to all the Payees.A joint account operated with joint signing authority belonging to all the Payees.If cheque is issued to a Payee and/or another Payee(s) (e.g. Payee A and/or Payee B and/or Payee C etc.), cheque can be deposited to:A joint account operated with a single signing authority belonging to all the Payees.A joint account operated with joint signing authority belonging to all the Payees.Any of a named Payee’s personal account.",39,765,7,127
Cheque payee name,"For a cheque to clear into an OCBC account, one of the requirements is that the payee’s name has to be in full and match our records. Cheques with incomplete names or variations which do not match our records may be returned.",17,225,3,42
Returned / bounced cheque,"As a payee, you will receive an Image Return Document (IRD) with the reasons for the returned / bounced cheque. For reason codes 1-7, you will be able to re-present the IRD for payment or approach the payer for alternative payment.",25,231,4,41
Stop cheque payment,"You can stop your cheque payment through OCBC Online Banking or the OCBC Digital app.OCBC Internet BankingLog in toOCBC Internet BankingEnter your access code, PIN and one-time passwordScroll over “Customer service” and select “Cheque services”Click on the respective account and select “Stop Cheque Request”Be informed on cheque status after the cheque has been presented to the bank.OCBC DigitalLog in to OCBC Digital app.Tap on the menu bar on the top left of the screen.Tap on “Cheque services”.Select “Stop cheque transaction”.Follow the mobile banking instructions.",19,571,3,84
Validity period of cheques,"Cheques are valid for 6 months from date of issuance, unless a shorter period is otherwise stated on the cheque. If you hold an expired cheque, please contact the payer to obtain a replacement cheque.",26,200,4,35
Request for banking statement,"Online bankingLogin to online bankingEnter your access code, PIN and one-time passwordClick on the required account number and select “Documents”Select “Account Type” , “From” and “To” date to viewNote: The account is required to be tagged to your online banking service.Online banking secured emailLogin to online bankingEnter your access code, PIN and one-time-passwordScroll over “Mailbox” and click on “Compose Mail”You will receive the banking statement within 7 working days via mail.BranchLocate branchYou will receive the banking statement within 7 working days via mail.",29,579,4,83
Make a new SGD fixed deposit placement,"BranchLocate branchPlacements will be processed immediately.Online bankingTo place a fixed deposit online, you need to have an existing savings or chequing account, as well as a fixed deposit account with us.Login to online bankingEnter your access code, PIN and one-time passwordSelect the “Time Deposit”. On the tooltip that pops out, select ""Place new deposit""Select the Time Deposit account number for the new placement.Select the currency and indicate the amountSelect the termSelect the funding amountRead and agree to the terms and conditionsPreview the placement details and indicative interest rate and click “Next”The placement will be processed and indicated in theTime Deposit AccountFixed deposit placement hours:Monday to Friday, 9.20am to 6pmWe will process instructions received outside these hours on the next working day (public and currency holidays excluded).Foreign Currency Fixed Deposit:Your fixed deposit will be placed within 2 working days (public and currency holidays excluded) after we receive your instructions. If you withdraw your time deposit before it matures, you may incur an early withdrawal fee (depending on the length of the remaining tenor and prevailing penalty rate) and earn no or lower interest.Customer service centreDial 1800 363 3333 or (65) 6363 3333 if overseasSelect languagePress 0 and select 2 for BankingFor the fixed deposit to be valued on the same day, submit your request before 4pm (Mondays to Fridays). Requests submitted after these times will be completed the next business day.",38,1540,7,230
Withdraw SGD fixed deposit,"BranchLocate branchWithdrawals will take immediate effect.Customer service centreTo withdraw an SGD Fixed Deposit, you need to have an existing savings or chequing account.Dial 1800 363 3333 or (65) 6363 3333 if overseasSelect languagePress 0 and select 2 for BankingWithdrawals will take effect in 1 working dayOnline bankingTo withdraw a fixed deposit online, you need to submit Time Deposit Instruction form via Internet Banking.Log in to online bankingEnter your access code, PIN and one-time passwordSelect the “Time Deposit”, click on the Change of Maturity Instruction or Terminating Time Deposit to submit the request via the online formKey in the detailsRead and agree to the terms and conditionsPreview the placement details and click “Next”The request will be processed",26,780,4,116
How to remit money overseas,View thestep-by-step guideon how to remit money overseas online viaOCBC Digital app.View thestep-by-step guideon how to remit money overseas online viaOCBC Internet Banking.,27,173,5,23
Link/Delink account to Online Banking,"You can manage your accounts for access and transactions via OCBC Online Banking. To link/delink your accounts to OCBC Online Banking.Via OCBC Internet Banking (desktop):Log in with your OCBC Online Banking Access Code and PIN.On the top menu, select ""Customer Service"" > “Account & Cheques” > “Manage accounts on Online banking"".Select your accounts to link or delink.Click “Next” to proceed and complete your request.Via OCBC Digital app:Log in to OCBC Digital app.Tap on the menu bar on the top left of the screen.Tap on “Profile & Settings"".Select ""Online Banking settings"".Select “Online Banking – link/delink accounts”Select your accounts to link or delink.Tap ""Confirm"" to complete your request.",37,702,5,106
